,Main_Actor,Aired,Genres,Content_Rating,Tags,Users
84,Alek Teeradetch Metawarayut ,"  Jun 15, 2019 - Jul 26, 2019 ","  Action,  Romance,  Drama  ",  Not Yet Rated ,"  Mafia, Bisexual Character, Childhood Friends' Relationship, Protective Male Lead, Male Lead Saves Female Lead, LGBTQ+, Multiple Couples, Nice Male Lead, Adapted From A Novel, Friendship   ",  474 
85,Tono Phakin Khamwilaisak ,"  Aug  2, 2022 - Sep 27, 2022 ","  Comedy,  Romance  ",  Not Yet Rated ,"  Contract Relationship, Hidden Identity, Protective Male Lead, Fake Relationship, Family Feud, Attempted Murder, Disapproving Parent, Scheme, Fake Marriage, One-night Stand   ",  799 
86,Mai Davika Hoorne ,"  Mar  2, 2022 - May  5, 2022 ","  Business,  Romance,  Drama  ",  13+ - Teens 13 or older ,"  Cohabitation, Bickering Mains' Relationship, Workplace Setting, Adapted From A Web Novel, Businessman Male Lead, Fashion Industry, Plagiarism, Family Conflict, Workplace Romance, Secondary Couple   ",  920 
87,Mild Lapassalan Jiravechsoontornkul ,"  Aug  9, 2019 - Oct 11, 2019 ","  Action,  Thriller,  Romance  ",  18+ Restricted (violence & profanity) ,"  Strong Female Lead, Threesome, Bisexual Male Lead, Revenge, Murder, LGBTQ+, Violence, Death, Transgender Supporting Character, Polyamory   ","  7,402 "
88,Mild Lapassalan Jiravechsoontornkul ,"  May 17, 2020 - Jun 14, 2020 ","  Comedy,  Romance,  Youth,  Drama  ",  G - All Ages ,"  Rags To Riches, Love/Hate Relationship, Naive Female Lead, Male Chases Female First, Playful Male Lead, Rich Female Lead, Hidden Identity, Miniseries, Adapted From A Novel, Love Triangle   ","  1,613 "
89,Off Jumpol Adulkittiporn ,"  Jun  1, 2019 - Aug 17, 2019 ","  Comedy,  Romance,  Youth,  Drama  ",  15+ - Teens 15 or older ,"  Gay Romance, Heartbreak, Adapted From A Novel, Unrequited Love, LGBTQ+, Crybaby Male Lead, Playboy Male Lead, Secret Crush, Bisexual Male Lead, Inner Monologue   ","  30,240 "
90,James Ma ,"  Apr 21, 2016 - Jun  9, 2016 ","  Romance,  Drama  ",  Not Yet Rated ,"  Male Chases Female First, Adapted From A Novel, Rich Woman/Poor Man, Nice Male Lead, Spoiled Female Lead, Sweet Male Lead, Doctor Male Lead, Supportive Male Lead, Uncle-Niece Relationship, Secondary Couple   ","  1,538 "
91,Vill Wannarot Sonthichai ,"  May  2, 2022 - Jun 13, 2022 ","  Action,  Mystery,  Romance,  Drama  ",  Not Yet Rated ,"  Greed, Bodyguard Female Lead, Rich Male Lead, Attempted Murder, Uncle-Nephew Relationship, Murder, Stuntwoman Female Lead, Gun Violence, Death, Death Of A Sister   ",  516 
92,Aum Patchrapa Chaichua ,"  Oct 30, 2020 - Dec 11, 2020 ","  Action,  Romance,  Drama  ",  15+ - Teens 15 or older ,"  Spoiled Female Lead, Forced Kiss, Love/Hate Relationship, Rich Female Lead, Skilled Killer, Steamy Kiss, Male Chases Female First, Slap And Kiss, Cold Female Lead, Warm Man/Cold Woman   ",  488 
93,James Jirayu Tangsrisuk ,"  May  3, 2013 - May 24, 2013 ","  Action,  Historical,  Romance,  Drama  ",  Not Yet Rated ,"  Rich Man/Poor Woman, Adapted From A Novel, Forbidden Love, Love At First Sight, Male Chases Female First, Family Pressure, Character Development, Rich Male Lead, Love Triangle, Concubinage   ","  1,080 "
94,Lee Thanat Lowkhunsombat ,"  May  7, 2017 - May 28, 2017 ","  Comedy,  Romance,  Youth,  Drama  ",  G - All Ages ,"  Royalty, Hidden Identity, Male Chases Female First, Adapted From A Novel, Student Supporting Character, Student Female Lead, Student Male Lead, School Setting, Bickering Mains' Relationship, Fashion Designer Female Lead   ","  2,372 "
95,Pond Ponlawit Ketprapakorn ,"  Aug 14, 2022 - Oct  2, 2022 ","  Romance,  Drama,  Melodrama  ",  13+ - Teens 13 or older ,"  Age Gap [Drama Life], Mother-Son Relationship, Gay Romance, Older Man/Younger Man, Inner Monologue, LGBTQ+, Age Gap [Real Life], Miniseries, Gay Male Lead, Death Of A Father   ","  4,784 "
96,Praew Narupornkamol Chaisang ,"  Feb  1, 2021 - Mar  3, 2021 ","  Thriller,  Mystery,  Drama  ",  Not Yet Rated ,"  Filmed Vertically, Miniseries, Investigation, Suspense, Strong Female Lead, Aggressive Male Lead, Rich Male Lead, Birthday Party, Hatred, Amnesia   ",  359 
97,James Jirayu Tangsrisuk ,"  Jun 15, 2020 - Jul 27, 2020 ","  Mystery,  Comedy,  Romance,  Crime  ",  G - All Ages ,"  Precognition, Male Lead Saves Female Lead, Fate, Investigation, Famous Male Lead, Nice Male Lead, Adapted From A Novel, Cohabitation, Gun Violence, Attempted Murder   ",  958 
98,Nychaa Nuttanicha Dungwattanawanich ,"  Jun  3, 2017 - Jun 17, 2017 ","  Romance,  Drama  ",  Not Yet Rated ,"  Accountant Female Lead, Violence Against Women, Flashback To Past, Orphan Female Lead, Weak Female Lead, Poor Female Lead, Debt, Miniseries, Death, Male Chases Female First   ",  581 
99,Inn Sarin Ronnakiat ,"  Mar 27, 2022 - May  1, 2022 ","  Mystery,  Romance,  Drama,  Fantasy  ",  13+ - Teens 13 or older ,"  Gay Romance, LGBTQ+, Mother-Son Relationship, Homophobia, Magical Object, Father-Son Relationship, Investigation, Coming Out, Cohabitation, Adapted From A Novel   ","  4,270 "
